model,modality,metric,value,n,run_name
qwen3,mri,accuracy,0.8,20,clean_baseline
qwen3,mri,precision,1.0,20,clean_baseline
qwen3,mri,recall,0.6,20,clean_baseline
qwen3,mri,f1,0.75,20,clean_baseline
qwen3,oct,accuracy,0.85,20,clean_baseline
qwen3,oct,precision,0.7692307692307693,20,clean_baseline
qwen3,oct,recall,1.0,20,clean_baseline
qwen3,oct,f1,0.8695652173913043,20,clean_baseline
qwen3,xray,accuracy,0.6,20,clean_baseline
qwen3,xray,precision,1.0,20,clean_baseline
qwen3,xray,recall,0.2,20,clean_baseline
qwen3,xray,f1,0.3333333333333333,20,clean_baseline
medgemma,mri,accuracy,0.9,20,clean_baseline
medgemma,mri,precision,0.8333333333333334,20,clean_baseline
medgemma,mri,recall,1.0,20,clean_baseline
medgemma,mri,f1,0.9090909090909091,20,clean_baseline
medgemma,oct,accuracy,0.55,20,clean_baseline
medgemma,oct,precision,1.0,20,clean_baseline
medgemma,oct,recall,0.1,20,clean_baseline
medgemma,oct,f1,0.18181818181818182,20,clean_baseline
medgemma,xray,accuracy,0.85,20,clean_baseline
medgemma,xray,precision,1.0,20,clean_baseline
medgemma,xray,recall,0.7,20,clean_baseline
medgemma,xray,f1,0.8235294117647058,20,clean_baseline
internvl,mri,accuracy,0.8,20,clean_baseline
internvl,mri,precision,0.875,20,clean_baseline
internvl,mri,recall,0.7,20,clean_baseline
internvl,mri,f1,0.7777777777777778,20,clean_baseline
internvl,oct,accuracy,0.85,20,clean_baseline
internvl,oct,precision,1.0,20,clean_baseline
internvl,oct,recall,0.7,20,clean_baseline
internvl,oct,f1,0.8235294117647058,20,clean_baseline
internvl,xray,accuracy,0.75,20,clean_baseline
internvl,xray,precision,0.6923076923076923,20,clean_baseline
internvl,xray,recall,0.9,20,clean_baseline
internvl,xray,f1,0.782608695652174,20,clean_baseline
lingshu,mri,accuracy,1.0,20,clean_baseline
lingshu,mri,precision,1.0,20,clean_baseline
lingshu,mri,recall,1.0,20,clean_baseline
lingshu,mri,f1,1.0,20,clean_baseline
lingshu,oct,accuracy,0.8,20,clean_baseline
lingshu,oct,precision,1.0,20,clean_baseline
lingshu,oct,recall,0.6,20,clean_baseline
lingshu,oct,f1,0.75,20,clean_baseline
lingshu,xray,accuracy,0.9,20,clean_baseline
lingshu,xray,precision,1.0,20,clean_baseline
lingshu,xray,recall,0.8,20,clean_baseline
lingshu,xray,f1,0.8888888888888888,20,clean_baseline
